FMCG,Quarter,Net Profit/(Loss) For the Period,Total Income From Operations,P/L Before Tax,Net Sales/Income from operations,Equity Share Capital,Non Current Asset,Current Asset,Total Asset,"P/L Before Int., Excpt. Items & Tax",Fixed Assets,Total Current Assets,Total Current Liabilities,Interest,EPS,NASDAQ INDEX,NSE FMCG Index,Crude Oil in USD,RBI Repo Rate
MARICO,2016q4,179.13,1160.5,239.15,1156.96,129.02,1811.6,1681.04,3492.64,241.31,490.67,1681.04,883.65,2.16,1.39,5298.65,20907.98333,43.29,0.0625
MARICO,2017q1,265.31,1142.98,352.47,1140.48,129.04,1811.6,1681.04,3492.64,355.36,490.67,1681.04,883.65,2.89,2.06,5783.99,22571.05,50.8,0.06
MARICO,2017q2,163.37,1103.46,232.18,1096.79,129.05,1759.79,1990.77,3750.56,236.3,527.29,1990.77,815.94,4.12,1.27,6128.85,25423.08333,50.8,0.06
MARICO,2017q3,198.02,1372.78,255.67,1372.78,129.05,1759.79,1990.77,3750.56,257.66,527.29,1990.77,815.94,1.99,1.54,6424.25,25353.35,50.8,0.06
MARICO,2017q4,160.31,1246.28,209.61,1246.28,129.08,1759.79,1990.77,3750.56,211.48,527.29,1990.77,815.94,1.87,1.25,6835.01,26119.75,50.8,0.06
MARICO,2018q1,240.11,1337.59,306.34,1337.59,129.08,1759.79,1990.77,3750.56,308.2,527.29,1990.77,815.94,1.86,1.86,7249.31,26589.46667,65.23,0.06
MARICO,2018q2,119.78,1213.76,182.1,1213.76,129.09,1685.41,2334.48,4019.89,287.93,533.7,2334.48,951.15,1.83,0.93,7339.56,28851.01667,65.23,0.06
MARICO,2018q3,214.92,1684.61,276.62,1684.61,129.09,1685.41,2334.48,4019.89,279.04,533.7,2334.48,951.15,2.42,1.67,7942.56,31225.5,65.23,0.0625
MARICO,2018q4,225.23,1496.75,286.97,1496.75,129.09,1685.41,2334.48,4019.89,289.25,533.7,2334.48,951.15,2.28,1.75,7090.57,29730,65.23,0.065
WIPRO,2014q1,2047.9,10069.1,2656.3,9989.9,493.1,12321.8,28384.8,40706.6,2748.7,4288.3,28384.8,16124.6,92.4,8.34,4203.66,17264.05,93.17,0.08
WIPRO,2014q2,2353.1,10401.8,2964.2,10338.3,493.2,13132.7,32604.2,45736.9,3058.5,4250.1,32604.2,14915.6,94.3,9.58,4255.12,17612.95,93.17,0.08
WIPRO,2014q3,2067.2,10104.1,2643.4,9963.4,493.4,13132.7,32604.2,45736.9,2725.3,4250.1,32604.2,14915.6,81.9,8.42,4481.14,19321.13333,93.17,0.08
WIPRO,2014q4,1992,10358.2,2590.4,10228.3,493.5,13132.7,32604.2,45736.9,2639.8,4250.1,32604.2,14915.6,49.4,8.11,4719.47,19849.18333,93.17,0.08
WIPRO,2015q1,1992.3,10521.2,2588.6,10400.6,493.7,13132.7,32604.2,45736.9,2733.6,4250.1,32604.2,14915.6,145,8.11,4833.22,20715.9,48.66,0.0775
WIPRO,2015q2,2141.6,10651.5,2734.6,10617.5,493.7,13553,39855.5,53408.5,2821.2,4399.6,39855.5,17365.3,86.6,8.72,4999.44,19924.58333,48.66,0.075
WIPRO,2015q3,2063,10775.4,2641.8,10775.4,493.8,13553,39855.5,53408.5,2772.4,4399.6,39855.5,17365.3,130.6,8.4,4841.65,20329.53333,48.66,0.0725
WIPRO,2015q4,2153.1,11036.9,2766.3,11036.9,494,13553,39855.5,53408.5,2954.5,4399.6,39855.5,17365.3,188.2,8.77,5056.61,20196.5,48.66,0.0675
WIPRO,2016q1,2011.1,11206.9,2594.4,11206.9,494.1,13553,39855.5,53408.5,2724.3,4399.6,39855.5,17365.3,129.9,8.19,4680.58,19076.13333,43.29,0.065
WIPRO,2016q2,1973.3,11661.5,2591.8,11661.5,494.1,13664.6,45260.3,58924.9,2679.2,4392.6,45260.3,15211.9,87.4,8.03,4855.36,20622.6,43.29,0.0625
WIPRO,2016q3,2007.7,11587.5,2595.1,11587.5,494.1,13664.6,45260.3,58924.9,2724.8,4392.6,45260.3,15211.9,129.7,8.17,5229.12,22126.73333,43.29,0.065
WIPRO,2016q4,1932.1,11453.8,2514.7,11453.8,486.1,13664.6,45260.3,58924.9,2610,4392.6,45260.3,15211.9,95.3,7.98,5298.65,20907.98333,43.29,0.0625
WIPRO,2017q1,1918.5,11378.3,2572.2,11378.3,486.1,13664.6,45260.3,58924.9,2714.9,4392.6,45260.3,15211.9,142.7,7.94,5783.99,22571.05,50.8,0.06
WIPRO,2017q2,2303.5,11628.2,3005.1,11220,486.1,14429.8,48727.1,63156.9,3029.5,5056.3,48727.1,13839.9,24.4,9.53,6128.85,25423.08333,50.8,0.06
WIPRO,2017q3,2026.8,11152.8,2607.5,11152.8,973.2,14429.8,48727.1,63156.9,2697.4,5056.3,48727.1,13839.9,89.9,4.18,6424.25,25353.35,50.8,0.06
WIPRO,2017q4,2134.3,11050.5,2760.1,11050.5,973.3,14429.8,48727.1,63156.9,2864.1,5056.3,48727.1,13839.9,104,4.4,6835.01,26119.75,50.8,0.06
WIPRO,2018q1,1804.5,11072.7,2448.4,11072.7,904.7,14429.8,48727.1,63156.9,2495.2,5056.3,48727.1,13839.9,46.8,3.76,7249.31,26589.46667,65.23,0.06
WIPRO,2018q2,1757.2,11434,2218.3,11434,904.8,15704,42967.3,58671.3,2341.8,5657.6,42967.3,15035.9,123.5,3.9,7339.56,28851.01667,65.23,0.06
WIPRO,2018q3,1922.2,11567.5,2422.4,11567.5,904.8,15704,42967.3,58671.3,2539.1,5657.6,42967.3,15035.9,116.7,4.27,7942.56,31225.5,65.23,0.0625
WIPRO,2018q4,1607.4,12002.3,2166.3,12002.3,904.8,15704,42967.3,58671.3,2263.8,5657.6,42967.3,15035.9,97.5,3.57,7090.57,29730,65.23,0.065
GODREJCP,2014q1,215.96,1982.27,180.41,1978.88,34.04,2884.48,1203.9,4088.38,188.53,1266.93,1203.9,1053.15,8.12,4.19,4203.66,17264.05,93.17,0.08
GODREJCP,2014q2,167.03,1048.39,214.88,1032.67,34.04,3437.35,1048.7,4486.05,226.8,1253.08,1048.7,1452.02,11.92,4.91,4255.12,17612.95,93.17,0.08
GODREJCP,2014q3,120.79,991.53,150.67,977.45,34.04,3437.35,1048.7,4486.05,151.84,1253.08,1048.7,1452.02,9.77,3.55,4481.14,19321.13333,93.17,0.08
GODREJCP,2014q4,173.77,1106.01,220.71,1091.21,34.04,3437.35,1048.7,4486.05,230.42,1253.08,1048.7,1452.02,9.71,5.1,4719.47,19849.18333,93.17,0.08
GODREJCP,2015q1,171.83,1106.01,216.29,1167.08,34.04,3437.35,1048.7,4486.05,225.43,1253.08,1048.7,1452.02,9.14,5.05,4833.22,20715.9,48.66,0.0775
GODREJCP,2015q2,188.06,1148.36,239.52,1133.51,34.04,3563.3,1358.78,4922.08,246.98,1239.02,1358.78,1529.91,8.3,5.52,4999.44,19924.58333,48.66,0.075
GODREJCP,2015q3,135.39,1063.39,175.97,1048.45,34.05,3563.3,1358.78,4922.08,192.42,1239.02,1358.78,1529.91,16.45,3.98,4841.65,20329.53333,48.66,0.0725
GODREJCP,2015q4,183.86,1231.55,239.94,1218.09,34.05,3563.3,1358.78,4922.08,256.42,1239.02,1358.78,1529.91,16.48,5.4,5056.61,20196.5,48.66,0.0675
GODREJCP,2016q1,193.91,1199.81,255.42,1182.61,34.05,3563.3,1358.78,4922.08,269.83,1239.02,1358.78,1529.91,14.41,5.69,4680.58,19076.13333,43.29,0.065
GODREJCP,2016q2,209.51,1151.84,276.89,1134.06,34.05,3810.38,1215.97,5026.35,284.22,1242.08,1215.97,1200.25,7.33,6.15,4855.36,20622.6,43.29,0.0625
GODREJCP,2016q3,152.86,1058.16,200.41,1042.43,34.06,3810.38,1215.97,5026.35,207.48,1242.08,1215.97,1200.25,7.07,4.45,5229.12,22126.73333,43.29,0.065
GODREJCP,2016q4,211.95,1240.34,275.41,1225.66,34.06,3810.38,1215.97,5026.35,283.08,1242.08,1215.97,1200.25,7.67,6.22,5298.65,20907.98333,43.29,0.0625
GODREJCP,2017q1,231.4,1195.91,300.41,1179.82,34.06,3810.38,1215.97,5026.35,309.61,1242.08,1215.97,1200.25,9.2,6.79,5783.99,22571.05,50.8,0.06
GODREJCP,2017q2,253.09,1254.94,334.15,1226.14,68.12,4408.9,1753.21,6162.11,346.27,1322.85,1753.21,1495.99,12.12,7.43,6128.85,25423.08333,50.8,0.06
GODREJCP,2017q3,149.56,1102.22,192.72,1091.66,68.13,4408.9,1753.21,6162.11,206.06,1322.85,1753.21,1495.99,13.34,2.19,6424.25,25353.35,50.8,0.06
GODREJCP,2017q4,256.11,1363.78,328.46,1346.72,68.13,4408.9,1753.21,6162.11,341.74,1322.85,1753.21,1495.99,13.28,3.76,6835.01,26119.75,50.8,0.06
GODREJCP,2018q1,299.07,1425.04,385.03,1394.74,68.13,4408.9,1753.21,6162.11,397.65,1322.85,1753.21,1495.99,12.62,4.39,7249.31,26589.46667,65.23,0.06
GODREJCP,2018q2,295.13,1369.76,382.8,1329.3,68.13,4507.51,2116.57,6624.08,395.44,1366.44,2116.57,1684.62,12.64,4.33,7339.56,28851.01667,65.23,0.06
GODREJCP,2018q3,220.45,1309.97,280.14,1278.54,68.13,4507.51,2116.57,6624.08,293.79,1366.44,2116.57,1684.62,13.65,3.24,7942.56,31225.5,65.23,0.0625
GODREJCP,2018q4,295.78,1507.61,380.28,1480.7,102.22,4507.51,2116.57,6624.08,397.76,1366.44,2116.57,1684.62,17.48,2.89,7090.57,29730,65.23,0.065
GODFRYPHLP,2014q1,70.74,640.33,108.35,623.35,10.4,917.88,870.58,1788.46,112.86,714.39,870.58,540.75,4.51,68.02,4203.66,17264.05,93.17,0.08
GODFRYPHLP,2014q2,38.3,623.33,61.45,603.53,10.4,1046.65,861.3,1907.95,65.96,710.47,861.3,610.74,4.51,36.84,4255.12,17612.95,93.17,0.08
GODFRYPHLP,2014q3,80.19,698.84,119.37,683.29,10.4,1046.65,861.3,1907.95,122.06,710.47,861.3,610.74,2.69,77.12,4481.14,19321.13333,93.17,0.08
GODFRYPHLP,2014q4,32.49,569.92,43.94,553.78,10.4,1046.65,861.3,1907.95,50,710.47,861.3,610.74,6.06,31.24,4719.47,19849.18333,93.17,0.08
GODFRYPHLP,2015q1,10.64,537.58,16.04,521,10.4,1046.65,861.3,1907.95,22.68,710.47,861.3,610.74,6.64,2.06,4833.22,20715.9,48.66,0.0775
GODFRYPHLP,2015q2,59.76,784.07,92.05,762.95,10.4,1078.19,965.77,2043.96,95.8,700.91,965.77,672.37,3.75,11.49,4999.44,19924.58333,48.66,0.075
GODFRYPHLP,2015q3,58.88,583.74,83.95,570.97,10.4,1078.19,965.77,2043.96,87.42,700.91,965.77,672.37,3.47,11.32,4841.65,20329.53333,48.66,0.0725
GODFRYPHLP,2015q4,49.72,580.72,71.82,566.41,10.4,1078.19,965.77,2043.96,74.32,700.91,965.77,672.37,2.5,9.57,5056.61,20196.5,48.66,0.0675
GODFRYPHLP,2016q1,13.77,533.91,16.26,521.05,10.4,1078.19,965.77,2043.96,18.9,700.91,965.77,672.37,2.64,2.64,4680.58,19076.13333,43.29,0.065
GODFRYPHLP,2016q2,47.71,696.48,66.04,679.24,10.4,1067.54,912.19,1979.73,67.47,738.51,912.19,493.05,1.43,9.18,4855.36,20622.6,43.29,0.0625
GODFRYPHLP,2016q3,22.38,478.96,28.81,465.59,10.4,1067.54,912.19,1979.73,30.83,738.51,912.19,493.05,2.02,4.3,5229.12,22126.73333,43.29,0.065
GODFRYPHLP,2016q4,-3.14,539.42,-4.91,533.21,10.4,1067.54,912.19,1979.73,-4.5,738.51,912.19,493.05,0.41,-0.6,5298.65,20907.98333,43.29,0.0625
GODFRYPHLP,2017q1,38.44,441.97,55.58,435.12,10.4,1067.54,912.19,1979.73,57.31,738.51,912.19,493.05,1.73,7.4,5783.99,22571.05,50.8,0.06
GODFRYPHLP,2017q2,55.83,769.65,83.59,760.96,10.4,1154.38,925.48,2079.86,83.45,684.85,925.48,430.62,-0.14,10.74,6128.85,25423.08333,50.8,0.06
GODFRYPHLP,2017q3,-3.14,498.15,-4.91,491.94,10.4,1154.38,925.48,2079.86,-4.5,684.85,925.48,430.62,0.41,-0.6,6424.25,25353.35,50.8,0.06
GODFRYPHLP,2017q4,58.8,647.43,83.61,633.68,10.4,1154.38,925.48,2079.86,83.96,684.85,925.48,430.62,0.35,11.31,6835.01,26119.75,50.8,0.06
GODFRYPHLP,2018q1,61.99,581.94,94.73,572.38,10.4,1154.38,925.48,2079.86,75.05,684.85,925.48,430.62,0.32,11.92,7249.31,26589.46667,65.23,0.06
